Date,Price,Open,High,Low,Vol.,Change %
"May 13, 2021",1833.90,1824.00,1835.30,1818.00,0.01K,0.00
"May 12, 2021",1832.40,1842.40,1842.70,1822.00,0.01K,-0.01
"May 11, 2021",1845.70,1845.20,1845.20,1845.00,0.01K,0.00
"May 10, 2021",1847.40,1844.00,1849.10,1843.90,0.09K,0.00
"May 07, 2021",1841.20,1830.50,1851.00,1828.50,0.16K,0.01
"May 06, 2021",1825.50,1823.60,1824.30,1823.40,0.17K,0.02
"May 05, 2021",1794.50,1789.10,1789.10,1789.10,0.16K,0.00
"May 04, 2021",1786.40,1790.80,1806.70,1784.20,0.16K,-0.01
"May 03, 2021",1801.20,1783.00,1783.00,1783.00,0.07K,0.01
"Apr 30, 2021",1777.10,1775.60,1779.20,1773.70,0.00K,0.00
"Apr 29, 2021",1777.60,1770.10,1780.00,1770.10,0.01K,0.00
"Apr 28, 2021",1783.50,1775.40,1775.90,1775.40,0.01K,0.00
"Apr 27, 2021",1788.40,1789.00,1789.00,1785.80,0.01K,0.00
"Apr 26, 2021",1789.60,1789.60,1789.60,1789.60,0.02K,0.00
"Apr 23, 2021",1787.20,1789.70,1789.70,1782.00,0.02K,0.00
"Apr 22, 2021",1791.70,1803.20,1803.40,1794.50,0.03K,-0.01
"Apr 21, 2021",1802.90,1790.00,1790.10,1790.00,0.02K,0.01
"Apr 20, 2021",1788.10,1787.80,1787.80,1787.80,0.00K,0.00
"Apr 19, 2021",1780.30,1780.10,1783.00,1780.10,0.00K,-0.01
"Apr 16, 2021",1789.70,1784.70,1784.70,1784.70,0.00K,0.01
"Apr 15, 2021",1776.40,1776.00,1776.00,1776.00,0.00K,0.02
"Apr 14, 2021",1745.80,1755.00,1755.60,1745.80,0.03K,-0.01
"Apr 13, 2021",1756.90,1733.10,1754.60,1733.10,0.02K,0.01
"Apr 12, 2021",1742.00,1740.40,1740.40,1740.40,0.01K,-0.01
"Apr 09, 2021",1754.00,1755.10,1756.20,1755.10,0.01K,-0.01
"Apr 08, 2021",1767.30,1757.30,1760.20,1757.30,0.00K,0.01
"Apr 07, 2021",1750.30,1751.50,1751.50,1742.40,0.02K,0.00
"Apr 06, 2021",1751.80,1738.10,1748.50,1738.00,0.05K,0.01
"Apr 05, 2021",1737.70,1737.20,1737.20,1737.20,0.01K,0.00
"Apr 01, 2021",1736.80,1732.00,1739.90,1732.00,0.00K,0.01
"Mar 31, 2021",1723.90,1688.40,1723.10,1688.40,0.02K,0.02
"Mar 30, 2021",1694.30,1700.00,1700.00,1693.50,0.02K,-0.02
"Mar 29, 2021",1723.30,1732.80,1732.80,1720.00,0.00K,-0.01
"Mar 26, 2021",1743.20,1732.50,1740.50,1728.10,0.00K,0.00
"Mar 25, 2021",1736.10,1745.10,1745.10,1745.10,0.01K,0.00
"Mar 24, 2021",1744.20,1742.40,1742.40,1742.20,0.00K,0.00
"Mar 23, 2021",1736.50,1738.00,1738.00,1734.30,0.01K,-0.01
"Mar 22, 2021",1749.40,1746.50,1746.50,1736.80,0.00K,0.00
"Mar 19, 2021",1752.60,1752.40,1752.40,1742.10,0.11K,0.01
"Mar 18, 2021",1743.50,1744.70,1744.70,1744.70,0.00K,0.00
"Mar 17, 2021",1737.50,1737.80,1750.40,1737.00,0.32K,0.00
"Mar 16, 2021",1741.80,1748.90,1748.90,1748.90,0.00K,0.00
"Mar 15, 2021",1740.30,1737.50,1738.30,1733.60,0.23K,0.01
