Date,Price,Open,High,Low,Vol.,Change %,day
"Sep 22, 2021",43582.60,40632.50,43998.00,40607.00,8.43K,0.07,192.00
"Sep 21, 2021",40664.00,43002.00,43622.30,39678.00,14.96K,-0.05,191.00
"Sep 20, 2021",43002.00,47239.00,47323.00,42577.00,12.63K,-0.09,190.00
"Sep 19, 2021",47239.00,48309.00,48370.00,46837.00,2.28K,-0.02,189.00
"Sep 18, 2021",48309.00,47296.00,48794.00,47070.00,2.05K,0.02,188.00
"Sep 17, 2021",47292.00,47786.00,48183.00,46782.00,2.49K,-0.01,187.00
"Sep 16, 2021",47786.00,48136.00,48518.00,47080.00,3.61K,-0.01,186.00
"Sep 15, 2021",48136.00,47078.00,48440.00,46738.00,3.98K,0.02,185.00
"Sep 14, 2021",47078.00,44960.00,47235.00,44726.00,3.52K,0.05,184.00
"Sep 13, 2021",44960.00,46069.00,46823.00,43514.00,8.77K,-0.02,183.00
"Sep 12, 2021",46069.00,45169.00,46391.00,44780.10,3.39K,0.02,182.00
"Sep 11, 2021",45169.00,44852.00,45990.00,44750.00,2.54K,0.01,181.00
"Sep 10, 2021",44852.00,46389.00,47036.00,44265.10,5.18K,-0.03,180.00
"Sep 09, 2021",46389.00,46088.00,47397.00,45591.00,3.85K,0.01,179.00
"Sep 08, 2021",46088.00,46778.00,47342.40,44509.90,7.55K,-0.01,178.00
"Sep 07, 2021",46778.00,52676.00,52888.00,43347.00,16.70K,-0.11,177.00
"Sep 06, 2021",52676.00,51762.00,52709.00,51062.00,4.84K,0.02,176.00
"Sep 05, 2021",51762.00,49899.00,51900.00,49500.00,5.54K,0.04,175.00
"Sep 04, 2021",49899.00,50000.00,50529.00,49418.00,2.37K,0.00,174.00
"Sep 03, 2021",50000.00,49291.00,51032.00,48362.00,7.33K,0.01,173.00
"Sep 02, 2021",49291.00,48844.00,50365.00,48633.00,4.95K,0.01,172.00
"Sep 01, 2021",48844.00,47157.00,49102.00,46600.00,5.71K,0.04,171.00
